"time","freqHz","T2","clutch1.phi_rel","clutch1.w_rel","clutch2.phi_rel","clutch2.w_rel","clutch3.phi_rel","clutch3.w_rel","J1.phi","J1.w"
1.14,0.2,0.4,-3.2160485386738,-0.64167294830367,-1.3972452156751,9.9946567406854e-14,-1.5206026303677,3.0941457620885e-13,6.4339367990757,3.0854204700986
1.15,0.2,0.4,-3.2218879189357,-0.52566306041997,-1.3972452156751,9.9946567406854e-14,-1.5206026303677,3.0941457620885e-13,6.4642360592206,2.9738223438865
1.16,0.2,0.4,-3.2265673413148,-0.41131528759044,-1.3972452156751,9.9946567406854e-14,-1.5206026303677,3.0941457620885e-13,6.4934174020079,2.8634708041173
1.17,0.2,0.4,-3.2301519817045,-0.3082605938811,-1.3972452156751,9.9946567406854e-14,-1.5206026303677,3.0941457620885e-13,6.5215418448362,2.7639961837915
1.18,0.2,0.4,-3.2327993722252,-0.22518718197043,-1.3972452156751,9.9946567406854e-14,-1.5206026303677,3.0941457620885e-13,6.5487627553479,2.6840861202522
1.19,0.2,0.4,-3.2347456088066,-0.16899025202451,-1.3972452156751,9.9946567406854e-14,-1.5206026303677,3.0941457620885e-13,6.5753120596701,2.6306353141362
1.2,0.2,0.4,-3.2362838692827,-0.14409756348527,-1.3972452156751,9.9946567406854e-14,-1.5206026303677,3.0941457620885e-13,6.6014787613769,2.6080710872259
1.21,0.2,0.4,-3.2377373574107,-0.15203534126542,-1.3972452156751,9.9946567406854e-14,-1.5206026303677,3.0941457620885e-13,6.6275818855001,2.6179192998109
1.22,0.2,0.4,-3.2394292768477,-0.19127932843726,-1.3972452156751,9.9946567406854e-14,-1.5206026303677,3.0941457620885e-13,6.6539404536587,2.65865539919
1.23,0.2,0.4,-3.2416528453504,-0.25740515184567,-1.3972452156751,9.9946567406854e-14,-1.5206026303677,3.0941457620885e-13,6.680843499358,2.7258547716254
1.24,0.2,0.4,-3.2446442257693,-0.34352028743861,-1.3972452156751,9.9946567406854e-14,-1.5206026303677,3.0941457620885e-13,6.7085229989138,2.8126247235392
1.25,0.2,0.4,-3.2485610439001,-0.44093920742175,-1.3972452156751,9.9946567406854e-14,-1.5206026303677,3.0941457620885e-13,6.7371323902227,2.9102796237339
1.26,0.2,0.4,-3.2534663472757,-0.5392986570926,-1.3972452156751,9.9946567406854e-14,-1.5206026303677,3.0941457620885e-13,6.7667311059853,3.0086399144542
1.27,0.2,0.4,-3.2593148572392,-0.62803305726821,-1.3972452156751,9.9946567406854e-14,-1.5206026303677,3.0941457620885e-13,6.7972730285223,3.0973743146298
1.28,0.2,0.4,-3.2659657468623,-0.69845307569335,-1.3972452156751,9.9946567406854e-14,-1.5206026303677,3.0941457620885e-13,6.8286173307191,3.1677943330549
1.29,0.2,0.4,-3.2731995994261,-0.74366551031945,-1.3972452156751,9.9946567406854e-14,-1.5206026303677,3.0941457620885e-13,6.8605445958564,3.213006767681
1.3,0.2,0.4,-3.2807399341056,-0.75924341046671,-1.3972452156751,9.9946567406854e-14,-1.5206026303677,3.0941457620885e-13,6.8927783431096,3.2285846678283
1.31,0.2,0.4,-3.2882802374981,-0.7436623897304,-1.3972452156751,9.9946567406854e-14,-1.5206026303677,3.0941457620885e-13,6.9250120590757,3.213003647092
1.32,0.2,0.4,-3.2955140588266,-0.69844995372935,-1.3972452156751,9.9946567406854e-14,-1.5206026303677,3.0941457620885e-13,6.9569392929778,3.1677912110909
1.33,0.2,0.4,-3.3021649171896,-0.62802993421304,-1.3972452156751,9.9946567406854e-14,-1.5206026303677,3.0941457620885e-13,6.9882835639144,3.0973711915746
1.34,0.2,0.4,-3.3080133958748,-0.53929553333686,-1.3972452156751,9.9946567406854e-14,-1.5206026303677,3.0941457620885e-13,7.0188254551733,3.0086367906984
1.35,0.2,0.4,-3.3129186206832,-0.44093269250748,-1.3972452156751,9.9946567406854e-14,-1.5206026303677,3.0941457620885e-13,7.0484240925553,2.910273949869
1.36,0.2,0.4,-3.3168320496772,-0.3425698519195,-1.3972452156751,9.9946567406854e-14,-1.5206026303677,3.0941457620885e-13,7.0770309341229,2.8119111092811
1.37,0.2,0.4,-3.3198022248039,-0.25383545174388,-1.3972452156751,9.9946567406854e-14,-1.5206026303677,3.0941457620885e-13,7.1046945218233,2.7231767091054
1.38,0.2,0.4,-3.3219700202709,-0.18341543331871,-1.3972452156751,9.9946567406854e-14,-1.5206026303677,3.0941457620885e-13,7.1315557298638,2.6527566906803
1.39,0.2,0.4,-3.3235548527973,-0.13820299869258,-1.3972452156751,9.9946567406854e-14,-1.5206026303677,3.0941457620885e-13,7.1578339749638,2.6075442560541
1.4,0.2,0.4,-3.3248332031017,-0.12262406570446,-1.3972452156751,9.9946567406854e-14,-1.5206026303677,3.0941457620885e-13,7.1838057378418,2.591965323066
1.41,0.2,0.4,-3.3261115611736,-0.13820377154826,-1.3972452156751,9.9946567406854e-14,-1.5206026303677,3.0941457620885e-13,7.2097775084874,2.6075450289098
1.42,0.2,0.4,-3.327696401458,-0.18341620754928,-1.3972452156751,9.9946567406854e-14,-1.5206026303677,3.0941457620885e-13,7.2360557613454,2.6527574649108
1.43,0.2,0.4,-3.3298642047077,-0.25383622706556,-1.3972452156751,9.9946567406854e-14,-1.5206026303677,3.0941457620885e-13,7.2629169771687,2.7231774844271
1.44,0.2,0.4,-3.3328343876353,-0.34257062794173,-1.3972452156751,9.9946567406854e-14,-1.5206026303677,3.0941457620885e-13,7.2905805726699,2.8119118853033
1.45,0.2,0.4,-3.3367478244396,-0.4409334687711,-1.3972452156751,9.9946567406854e-14,-1.5206026303677,3.0941457620885e-13,7.3191874220479,2.9102747261327
1.46,0.2,0.4,-3.3416530570584,-0.53929630935908,-1.3972452156751,9.9946567406854e-14,-1.5206026303677,3.0941457620885e-13,7.3487860672402,3.0086375667206
1.47,0.2,0.4,-3.3475015435445,-0.62803070953473,-1.3972452156751,9.9946567406854e-14,-1.5206026303677,3.0941457620885e-13,7.3793279662999,3.0973719668963
1.48,0.2,0.4,-3.3541524096903,-0.69845072795992,-1.3972452156751,9.9946567406854e-14,-1.5206026303677,3.0941457620885e-13,7.4106722450194,3.1677919853215
1.49,0.2,0.4,-3.3613862494753,-0.74366215036808,-1.3972452156751,9.9946567406854e-14,-1.5206026303677,3.0941457620885e-13,7.442599497378,3.2130034077296
1.5,0.2,0.4,-3.3689265505811,-0.7592407328751,-1.3972452156751,9.9946567406854e-14,-1.5206026303677,3.0941457620885e-13,7.4748332110574,3.2285819902367
