"time","freqHz","T2","clutch1_phi_0rel","clutch1_w_0rel","clutch2_phi_0rel","clutch2_w_0rel","clutch3_phi_0rel","clutch3_w_0rel","J1_phi","J1_w"
0.1785,0.2,0.4,-1.53084,-6.52942,-0.158654,-1.77023,0,0,1.6895,8.29965
0.18,0.2,0.4,-1.53084,-6.52942,-0.158654,-1.77023,0,0,1.6895,8.29965
0.18,0.2,0.4,-1.54061,-6.49108,-0.16132,-1.78485,0,0,1.70193,8.27593
0.1815,0.2,0.4,-1.54061,-6.49108,-0.16132,-1.78485,0,0,1.70193,8.27593
0.1815,0.2,0.4,-1.55032,-6.45331,-0.164009,-1.79947,0,0,1.71433,8.25278
0.183,0.2,0.4,-1.55032,-6.45331,-0.164009,-1.79947,0,0,1.71433,8.25278
0.183,0.2,0.4,-1.55997,-6.41616,-0.166719,-1.81408,0,0,1.72669,8.23024
0.1845,0.2,0.4,-1.55997,-6.41616,-0.166719,-1.81408,0,0,1.72669,8.23024
0.1845,0.2,0.4,-1.56957,-6.37962,-0.169451,-1.82868,0,0,1.73902,8.2083
0.186,0.2,0.4,-1.56957,-6.37962,-0.169451,-1.82868,0,0,1.73902,8.2083
0.186,0.2,0.4,-1.57911,-6.34372,-0.172205,-1.84328,0,0,1.75131,8.187
0.1875,0.2,0.4,-1.57911,-6.34372,-0.172205,-1.84328,0,0,1.75131,8.187
0.1875,0.2,0.4,-1.5886,-6.30847,-0.174981,-1.85787,0,0,1.76358,8.16634
0.189,0.2,0.4,-1.5886,-6.30847,-0.174981,-1.85787,0,0,1.76358,8.16634
0.189,0.2,0.4,-1.59803,-6.27389,-0.177779,-1.87246,0,0,1.77581,8.14635
0.1905,0.2,0.4,-1.59803,-6.27389,-0.177779,-1.87246,0,0,1.77581,8.14635
0.1905,0.2,0.4,-1.60742,-6.23998,-0.180598,-1.88704,0,0,1.78802,8.12702
0.192,0.2,0.4,-1.60742,-6.23998,-0.180598,-1.88704,0,0,1.78802,8.12702
0.192,0.2,0.4,-1.61675,-6.20677,-0.18344,-1.90161,0,0,1.80019,8.10838
0.1935,0.2,0.4,-1.61675,-6.20677,-0.18344,-1.90161,0,0,1.80019,8.10838
0.1935,0.2,0.4,-1.62604,-6.17425,-0.186303,-1.91617,0,0,1.81234,8.09043
0.195,0.2,0.4,-1.62604,-6.17425,-0.186303,-1.91617,0,0,1.81234,8.09043
0.195,0.2,0.4,-1.63528,-6.14245,-0.189189,-1.93073,0,0,1.82447,8.07318
