Time,y_multiSwitch,y_triggeredAdd,y_product,y_sum
5.67,2.0,5.0,9.0,3.0
5.67,2.0,5.0,9.0,3.0
5.67,2.0,5.0,9.0,3.0
5.67,2.0,5.0,9.0,3.0
5.68,2.0,5.0,9.0,3.0
5.68,2.0,5.0,9.0,3.0
5.68,2.0,5.0,9.0,3.0
5.68,2.0,5.0,9.0,3.0
5.68,2.0,5.0,9.0,3.0
5.68,2.0,5.0,9.0,3.0
5.68,2.0,5.0,9.0,3.0
5.68,2.0,5.0,9.0,3.0
5.68,2.0,5.0,9.0,3.0
5.68,2.0,5.0,9.0,3.0
5.69,2.0,5.0,9.0,3.0
5.69,2.0,5.0,9.0,3.0
5.69,2.0,5.0,9.0,3.0
5.69,2.0,5.0,9.0,3.0
5.69,2.0,5.0,9.0,3.0
5.69,2.0,5.0,9.0,3.0
5.69,2.0,5.0,9.0,3.0
5.69,2.0,5.0,9.0,3.0
5.69,2.0,5.0,9.0,3.0
5.69,2.0,5.0,9.0,3.0
5.7,2.0,5.0,9.0,3.0
5.7,2.0,5.0,9.0,3.0
5.7,2.0,5.0,9.0,3.0
5.7,2.0,5.0,9.0,3.0
5.7,2.0,5.0,9.0,3.0
5.7,2.0,5.0,9.0,3.0
5.7,2.0,5.0,9.0,3.0
5.7,2.0,5.0,9.0,3.0
5.7,2.0,5.0,9.0,3.0
5.7,2.0,5.0,9.0,3.0
5.71,2.0,5.0,9.0,3.0
5.71,2.0,5.0,9.0,3.0
5.71,2.0,5.0,9.0,3.0
5.71,2.0,5.0,9.0,3.0
5.71,2.0,5.0,9.0,3.0
5.71,2.0,5.0,9.0,3.0
5.71,2.0,5.0,9.0,3.0
5.71,2.0,5.0,9.0,3.0
5.71,2.0,5.0,9.0,3.0
5.71,2.0,5.0,9.0,3.0
5.72,2.0,5.0,9.0,3.0
5.72,2.0,5.0,9.0,3.0
5.72,2.0,5.0,9.0,3.0
5.72,2.0,5.0,9.0,3.0
5.72,2.0,5.0,9.0,3.0
5.72,2.0,5.0,9.0,3.0
5.72,2.0,5.0,9.0,3.0
5.72,2.0,5.0,9.0,3.0
5.72,2.0,5.0,9.0,3.0
5.72,2.0,5.0,9.0,3.0
5.73,2.0,5.0,9.0,3.0
5.73,2.0,5.0,9.0,3.0
5.73,2.0,5.0,9.0,3.0
5.73,2.0,5.0,9.0,3.0
5.73,2.0,5.0,9.0,3.0
5.73,2.0,5.0,9.0,3.0
5.73,2.0,5.0,9.0,3.0
5.73,2.0,5.0,9.0,3.0
5.73,2.0,5.0,9.0,3.0
5.73,2.0,5.0,9.0,3.0
5.74,2.0,5.0,9.0,3.0
5.74,2.0,5.0,9.0,3.0
5.74,2.0,5.0,9.0,3.0
5.74,2.0,5.0,9.0,3.0
5.74,2.0,5.0,9.0,3.0
5.74,2.0,5.0,9.0,3.0
5.74,2.0,5.0,9.0,3.0
5.74,2.0,5.0,9.0,3.0
5.74,2.0,5.0,9.0,3.0
5.74,2.0,5.0,9.0,3.0
5.75,2.0,5.0,9.0,3.0
5.75,2.0,5.0,9.0,3.0
5.75,2.0,5.0,9.0,3.0
5.75,2.0,5.0,9.0,3.0
5.75,2.0,5.0,9.0,3.0
5.75,2.0,5.0,9.0,3.0
5.75,2.0,5.0,9.0,3.0
5.75,2.0,5.0,9.0,3.0
5.75,2.0,5.0,9.0,3.0
5.75,2.0,5.0,9.0,3.0
5.76,2.0,5.0,9.0,3.0
5.76,2.0,5.0,9.0,3.0
5.76,2.0,5.0,9.0,3.0
5.76,2.0,5.0,9.0,3.0
5.76,2.0,5.0,9.0,3.0
5.76,2.0,5.0,9.0,3.0
5.76,2.0,5.0,9.0,3.0
5.76,2.0,5.0,9.0,3.0
5.76,2.0,5.0,9.0,3.0
5.76,2.0,5.0,9.0,3.0
5.77,2.0,5.0,9.0,3.0
5.77,2.0,5.0,9.0,3.0
5.77,2.0,5.0,9.0,3.0
5.77,2.0,5.0,9.0,3.0
5.77,2.0,5.0,9.0,3.0
5.77,2.0,5.0,9.0,3.0
5.77,2.0,5.0,9.0,3.0
5.77,2.0,5.0,9.0,3.0
5.77,2.0,5.0,9.0,3.0
5.77,2.0,5.0,9.0,3.0
5.78,2.0,5.0,9.0,3.0
5.78,2.0,5.0,9.0,3.0
5.78,2.0,5.0,9.0,3.0
5.78,2.0,5.0,9.0,3.0
5.78,2.0,5.0,9.0,3.0
5.78,2.0,5.0,9.0,3.0
5.78,2.0,5.0,9.0,3.0
5.78,2.0,5.0,9.0,3.0
5.78,2.0,5.0,9.0,3.0
5.78,2.0,5.0,9.0,3.0
5.79,2.0,5.0,9.0,3.0
5.79,2.0,5.0,9.0,3.0
5.79,2.0,5.0,9.0,3.0
5.79,2.0,5.0,9.0,3.0
5.79,2.0,5.0,9.0,3.0
5.79,2.0,5.0,9.0,3.0
5.79,2.0,5.0,9.0,3.0
5.79,2.0,5.0,9.0,3.0
5.79,2.0,5.0,9.0,3.0
5.79,2.0,5.0,9.0,3.0
5.8,2.0,5.0,9.0,3.0
5.8,2.0,5.0,9.0,3.0
5.8,2.0,5.0,9.0,3.0
5.8,2.0,5.0,9.0,3.0
5.8,2.0,5.0,9.0,3.0
5.8,2.0,5.0,9.0,3.0
5.8,2.0,5.0,9.0,3.0
5.8,2.0,5.0,9.0,3.0
5.8,2.0,5.0,9.0,3.0
5.8,2.0,5.0,9.0,3.0
5.81,2.0,5.0,9.0,3.0
5.81,2.0,5.0,9.0,3.0
5.81,2.0,5.0,9.0,3.0
5.81,2.0,5.0,9.0,3.0
5.81,2.0,5.0,9.0,3.0
5.81,2.0,5.0,9.0,3.0
