"time","egsCarSpeed","egsGear","egsTargetGear","valves_0eds","valves_0eds1","valves_0eds2","valves_0eds3","valves_0eds4","valves_0eds5","valves_0mv1","valves_0mv2","valves_0mv3"
29.9355,70.516,6,6,0,0,1,0,0,1,1,1,0
29.9691,70.516,6,6,0,0,1,0,0,1,1,1,0
29.9691,69.653,6,6,0,0,1,0,0,1,1,1,0
30.0026,69.653,6,6,0,0,1,0,0,1,1,1,0
30.0026,68.79,6,6,0,0,1,0,0,1,1,1,0
30.0362,68.79,6,6,0,0,1,0,0,1,1,1,0
30.0362,67.928,6,6,0,0,1,0,0,1,1,1,0
30.0698,67.928,6,6,0,0,1,0,0,1,1,1,0
30.0698,67.065,6,6,0,0,1,0,0,1,1,1,0
30.1033,67.065,6,6,0,0,1,0,0,1,1,1,0
30.1033,66.203,6,6,0,0,1,0,0,1,1,1,0
30.1369,66.203,6,6,0,0,1,0,0,1,1,1,0
30.1369,65.341,6,6,0,0,1,0,0,1,1,1,0
30.1704,65.341,6,6,0,0,1,0,0,1,1,1,0
30.1704,64.479,6,6,0,0,1,0,0,1,1,1,0
30.204,64.479,6,6,0,0,1,0,0,1,1,1,0
30.204,63.618,6,6,0,0,1,0,0,1,1,1,0
30.2376,63.618,6,6,0,0,1,0,0,1,1,1,0
30.2376,62.756,6,6,0,0,1,0,0,1,1,1,0
30.2711,62.756,6,6,0,0,1,0,0,1,1,1,0
30.2711,61.895,6,6,0,0,1,0,0,1,1,1,0
30.3047,61.895,6,6,0,0,1,0,0,1,1,1,0
30.3047,61.034,6,6,0,0,1,0,0,1,1,1,0
30.3382,61.034,6,6,0,0,1,0,0,1,1,1,0
30.3382,60.174,6,6,0,0,1,0,0,1,1,1,0
30.3718,60.174,6,6,0,0,1,0,0,1,1,1,0
30.3718,59.313,6,6,0,0,1,0,0,1,1,1,0
30.4054,59.313,6,6,0,0,1,0,0,1,1,1,0
30.4054,58.453,6,6,0,0,1,0,0,1,1,1,0
30.4389,58.453,6,6,0,0,1,0,0,1,1,1,0
30.4389,57.593,6,6,0,0,1,0,0,1,1,1,0
30.4725,57.593,6,6,0,0,1,0,0,1,1,1,0
30.4725,56.733,6,6,0,0,1,0,0,1,1,1,0
30.506,56.733,6,6,0,0,1,0,0,1,1,1,0
30.506,55.873,6,6,0,0,1,0,0,1,1,1,0
30.5396,55.873,6,6,0,0,1,0,0,1,1,1,0
30.5396,55.013,6,6,0,0,1,0,0,1,1,1,0
30.5732,55.013,6,6,0,0,1,0,0,1,1,1,0
30.5732,54.154,6,6,0,0,1,0,0,1,1,1,0
30.6067,54.154,6,6,0,0,1,0,0,1,1,1,0
30.6067,53.295,6,6,0,0,1,0,0,1,1,1,0
30.6403,53.295,6,6,0,0,1,0,0,1,1,1,0
30.6403,52.448,6,6,0,0,1,0,0,1,1,1,0
30.6738,52.448,6,6,0,0,1,0,0,1,1,1,0
30.6738,51.594,6,6,0,0,1,0,0,1,1,1,0
30.7074,51.594,6,6,0,0,1,0,0,1,1,1,0
30.7074,50.684,6,6,0,0,1,0,0,1,1,1,0
30.741,50.684,6,6,0,0,1,0,0,1,1,1,0
30.741,49.815,6,6,0,0,1,0,0,1,1,1,0
