"time","U@resistance","I@variable_resistance"
9.292730845e-005,6.158838495,-2.564278592e-006
9.31237721e-005,5.575410033,-2.366910937e-006
9.332023576e-005,4.879466364,-2.159522279e-006
9.351669941e-005,4.086524666,-1.952087191e-006
9.371316306e-005,3.215151104,-1.753867136e-006
9.390962672e-005,2.286320799,-1.573046583e-006
9.410609037e-005,1.322692603,-1.416426959e-006
9.430255403e-005,0.3478277475,-1.289189296e-006
9.449901768e-005,-0.6146149193,-1.194733865e-006
9.469548134e-005,-1.541678896,-1.134600938e-006
9.489194499e-005,-2.411867706,-1.108475791e-006
9.508840864e-005,-3.314452997,-0.01741928164
9.52848723e-005,-4.253887858,-0.04764707544
9.548133595e-005,-5.080926165,-0.07572719942
9.567779961e-005,-5.786539867,-0.1014874284
9.587426326e-005,-6.364132795,-0.1248019617
9.607072692e-005,-6.809551733,-0.1455916335
9.626719057e-005,-7.121046222,-0.1638231469
9.646365422e-005,-7.29919397,-0.1795076407
9.666011788e-005,-7.346791837,-0.1926986142
9.685658153e-005,-7.268710602,-0.2034891491
9.705304519e-005,-7.071723256,-0.2120086314
9.724950884e-005,-6.764309848,-0.218419024
9.74459725e-005,-6.356438548,-0.2229106875
9.764243615e-005,-5.859335134,-0.225697981
9.78388998e-005,-5.285238315,-0.2270145809
9.803536346e-005,-4.647150313,-0.2271087352
9.823182711e-005,-3.958584869,-0.2262384396
9.842829077e-005,-3.233316104,-0.2246666495
9.862475442e-005,-2.485140303,-0.2226567315
9.882121807e-005,-1.727641502,-0.2204679893
9.901768173e-005,-0.9739596319,-0.2183512379
9.921414538e-005,-0.2366101165,-0.2165453614
9.941060904e-005,0.4727108203,-0.2152735886
9.960707269e-005,1.143292096,-0.2147403656
9.980353635e-005,1.765535693,-0.2151288391
0.0001,2.331074295,-0.2165986845
