time,volume@INJ01,q@INJ01
0.01461,0.000156983518226,-1.2457119701999999e-08
0.01461,0.000156983518226,-1.2457119701999999e-08
0.01462,0.000156983518224,-1.24571336701e-08
0.01462,0.000156983518224,-1.24571336701e-08
0.01463,0.000156983518222,-1.24571476381e-08
0.01463,0.000156983518222,-1.24571476381e-08
0.01464,0.00015698351822,-1.24571546222e-08
0.01464,0.00015698351822,-1.24571546222e-08
0.01465,0.00015698351821799998,-1.24571616062e-08
0.01465,0.00015698351821799998,-1.24571616062e-08
0.01466,0.000156983518216,-1.24571825583e-08
0.01466,0.000156983518216,-1.24571825583e-08
0.014669999999999999,0.00015698351821399998,-1.2457189542399999e-08
0.014669999999999999,0.00015698351821399998,-1.2457189542399999e-08
0.01468,0.00015698351821200003,-1.24572035105e-08
0.01468,0.00015698351821200003,-1.24572035105e-08
0.01469,0.00015698351821,-1.24572174785e-08
0.01469,0.00015698351821,-1.24572174785e-08
0.0147,0.000156983518208,-1.24572314466e-08
0.0147,0.000156983518208,-1.24572314466e-08
0.014709999999999999,0.000156983518205,-1.2457238430700001e-08
0.014709999999999999,0.000156983518205,-1.2457238430700001e-08
0.014719999999999999,0.00015698351820299999,-1.2457259382799999e-08
0.014719999999999999,0.00015698351820299999,-1.2457259382799999e-08
0.014730000000000002,0.000156983518201,-1.2457259382799999e-08
0.014730000000000002,0.000156983518201,-1.2457259382799999e-08
0.014740000000000001,0.000156983518199,-1.24572803349e-08
0.014740000000000001,0.000156983518199,-1.24572803349e-08
0.01475,0.00015698351819699998,-1.24572803349e-08
0.01475,0.00015698351819699998,-1.24572803349e-08
0.014759999999999999,0.000156983518195,-1.2457301287e-08
0.014759999999999999,0.000156983518195,-1.2457301287e-08
0.014769999999999998,0.00015698351819299998,-1.2457308271100001e-08
0.014769999999999998,0.00015698351819299998,-1.2457308271100001e-08
0.014780000000000001,0.000156983518191,-1.24573152551e-08
0.014780000000000001,0.000156983518191,-1.24573152551e-08
0.014790000000000001,0.000156983518189,-1.24573292232e-08
0.014790000000000001,0.000156983518189,-1.24573292232e-08
0.0148,0.000156983518187,-1.24573501753e-08
0.0148,0.000156983518187,-1.24573501753e-08
0.01481,0.000156983518185,-1.24573501753e-08
0.01481,0.000156983518185,-1.24573501753e-08
0.014819999999999998,0.000156983518183,-1.24573571594e-08
0.014819999999999998,0.000156983518183,-1.24573571594e-08
0.014830000000000001,0.000156983518181,-1.2457371127399998e-08
0.014830000000000001,0.000156983518181,-1.2457371127399998e-08
0.01484,0.000156983518178,-1.24573781115e-08
0.01484,0.000156983518178,-1.24573781115e-08
0.01485,0.000156983518176,-1.24573920796e-08
0.01485,0.000156983518176,-1.24573920796e-08
0.01486,0.000156983518174,-1.24573920796e-08
0.01486,0.000156983518174,-1.24573920796e-08
0.01487,0.00015698351817200002,-1.24574200157e-08
