    "time","Piston_r2","Inertia_w"
    0.3305,0.22312299, 215.50572
     0.331,0.23509783, 217.14015
    0.3315, 0.2468112, 220.67075
     0.332, 0.2580909, 226.21864
    0.3325,0.26872506, 233.86485
     0.333,0.27844181, 243.52789
    0.3335,0.28689076, 254.78734
     0.334,0.29362714,   266.345
    0.3345,0.29814218, 275.81487
     0.335,0.29997461,  280.1843
    0.3355,0.29889846, 277.73722
     0.336,0.29504188, 269.87843
    0.3365, 0.2888035,  259.2669
     0.337,0.28068034, 248.50213
    0.3375,  0.271131,  239.1296
     0.338,0.26052144, 231.74508
    0.3385,0.24914046, 226.50527
     0.339,0.23721502, 223.40742
    0.3395,0.22492991, 222.34108
      0.34,0.21244818, 223.21146
    0.3405,0.19992043, 225.97124
     0.341,0.18749541, 230.54863
    0.3415,0.17532988, 236.78453
     0.342,0.16359036, 244.46924
    0.3425,0.15245047, 253.30978
     0.343,0.14208455, 262.87457
    0.3435,0.13265693, 272.60042
     0.344,0.12430822, 281.87495
    0.3445,0.11714256, 290.15595
     0.345,0.11122109, 297.07024
    0.3455,0.10656484, 302.44787
     0.346,0.10316577, 306.28542
    0.3465,0.10100178, 308.66847
     0.347, 0.1000509, 309.69283
    0.3475,0.10030122, 309.38677
     0.348,0.10175517, 307.78746
    0.3485,0.10442898, 304.80991
     0.349,0.10834729, 300.38933
    0.3495,0.11353054, 294.50727
      0.35,0.11998077, 287.25757
    0.3505,0.12766897,  278.8977
     0.351,0.13652598,  269.8566
    0.3515,0.14644128, 260.68781
     0.352,0.15727056, 251.97679
    0.3525,0.16884909, 244.24913
     0.353,0.18100524, 237.91462
    0.3535,0.19357001, 233.25886
     0.354,0.20638051, 230.47119
    0.3545,0.21927784,  229.6887
     0.355,0.23210057, 231.03805
    0.3555,0.24467442, 234.66223
     0.356,0.25679743,   240.719
    0.3565,0.26821939, 249.32562
     0.357,0.27861437,  260.3948
    0.3575,0.28755509, 273.38408
     0.358,0.29449176, 286.50505
    0.3585,0.29880176, 296.49112
     0.359,0.29996129,  299.5301
    0.3595,0.29780484, 294.41907
      0.36, 0.2926145, 283.68655
    0.3605,0.28495065, 271.03436
     0.361,0.27541405, 259.25083
    0.3615,0.26451024, 249.67249
     0.362,0.25262886, 242.68532
    0.3625,0.24006919, 238.29585
     0.363,0.22706782, 236.40734
    0.3635,0.21382504, 236.88544
     0.364,0.20052371, 239.61865
